$a_n$,$b_n$,$p_n$,$f(p_{n})$,$Error (\frac{b_n - a_n}{2})$
0.01,1.0,0.505,-6.940398000196059,0.495
0.01,0.505,0.2575,-10.876708455085303,0.2475
0.01,0.2575,0.13375,-8.433138265350689,0.12375000000000001
0.01,0.13375,0.07187500000000001,28.2211720226843,0.061875000000000006
0.07187500000000001,0.13375,0.1028125,-0.3303646492548964,0.030937499999999993
0.07187500000000001,0.1028125,0.08734375,9.294904330183279,0.01546874999999999
0.08734375,0.1028125,0.095078125,3.7223212109468093,0.007734375000000002
0.095078125,0.1028125,0.0989453125,1.5386458947187265,0.003867187499999994
0.0989453125,0.1028125,0.10087890625,0.56817097730368,0.0019335937500000039
0.10087890625,0.1028125,0.10184570312499999,0.11029418261500723,0.000966796874999995
0.10184570312499999,0.1028125,0.1023291015625,-0.11214165869768777,0.00048339843750000444
0.10184570312499999,0.1023291015625,0.10208740234375,-0.0014559813601877636,0.00024169921875000222
0.10184570312499999,0.10208740234375,0.101966552734375,0.05428532736090119,0.00012084960937500111
0.101966552734375,0.10208740234375,0.1020269775390625,0.026381319090582167,6.0424804687500555e-05
0.1020269775390625,0.10208740234375,0.10205718994140625,0.012454341532681212,3.0212402343757216e-05
0.10205718994140625,0.10208740234375,0.10207229614257812,0.005497099644308889,1.510620117187167e-05
0.10207229614257812,0.10208740234375,0.10207984924316406,0.002020039205348212,7.553100585935835e-06
